PARSED_DATE,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND
2014-05-02,72,141,134,146,25
2014-05-03,51,127,141,106,22
2014-05-04,44,112,96,92,10
2014-05-05,56,159,115,121,18
2014-05-06,53,131,127,101,18
2014-05-07,60,130,145,110,19
2014-05-08,50,138,132,115,20
2014-05-09,63,137,115,115,10
2014-05-10,50,96,119,131,8
2014-05-11,46,123,94,128,19
2014-05-12,47,141,140,101,14
2014-05-13,41,133,114,99,20
2014-05-14,45,145,148,112,17
2014-05-15,55,160,140,97,26
2014-05-16,63,154,150,140,28
2014-05-17,55,141,133,113,18
2014-05-18,49,116,114,88,18
2014-05-19,46,127,110,131,15
2014-05-20,55,161,133,107,16
2014-05-21,50,123,131,97,15
2014-05-22,44,145,132,105,20
2014-05-23,64,138,138,134,22
2014-05-24,58,113,97,101,16
2014-05-25,54,122,79,89,13
2014-05-26,42,127,59,82,14
2014-05-27,61,140,123,118,19
2014-05-28,60,126,109,112,8
2014-05-29,52,156,153,125,16
2014-05-30,70,130,147,133,10
2014-05-31,60,140,125,118,18
2014-06-01,56,128,122,110,26
2014-06-02,64,170,104,135,17
2014-06-03,57,168,137,126,17
2014-06-04,54,110,130,112,28
2014-06-05,54,133,123,109,23
2014-06-06,57,162,180,131,28
2014-06-07,58,136,127,135,18
2014-06-08,47,126,99,105,22
2014-06-09,42,126,105,100,15
2014-06-10,40,148,108,111,23
2014-06-11,48,123,135,109,21
2014-06-12,50,127,122,101,33
2014-06-13,72,158,156,140,29
2014-06-14,78,143,115,121,21
2014-06-15,50,136,76,94,9
2014-06-16,53,132,119,142,25
2014-06-17,58,179,133,125,19
2014-06-18,59,157,143,124,27
2014-06-19,60,155,142,119,25
2014-06-20,74,185,159,139,26
2014-06-21,65,105,97,132,14
2014-06-22,50,111,85,100,11
2014-06-23,73,159,109,121,31
2014-06-24,65,149,128,122,18
2014-06-25,65,153,122,135,19
2014-06-26,64,158,129,128,21
2014-06-27,66,142,139,130,20
2014-06-28,64,124,123,133,13
2014-06-29,58,109,109,113,14
2014-06-30,46,135,140,124,16
2014-07-01,65,154,111,133,15
