Bucketed Score,Intersection,Lat,Long,Score,Accidents,Traffic
10.0,Canal Street & Forsyth Street,40.7156085,-73.9942713,63.29,15,2370
10.0,Ellwood Street & West 196th Street,40.860862,-73.928817,62.89,1,159
10.0,Amsterdam Avenue & West 185th Street,40.8504965,-73.9291376,62.11,1,161
10.0,Broadway & West 150th Street,40.8295736,-73.9480915,61.96,10,1614
10.0,Adam Clayton Powell Jr. Boulevard & West 135th Street,40.8152715,-73.9436452,61.82,33,5338
10.0,Adam Clayton Powell Jr. Boulevard & West 137th Street,40.8165703,-73.9426963,61.08,7,1146
10.0,Adam Clayton Powell Jr. Boulevard & West 136th Street,40.8159502,-73.9431458,60.77,9,1481
10.0,Broadway & West 189th Street,40.855335,-73.933312,60.16,9,1496
10.0,Bowery,40.72165,-73.993586,60.14,31,5155
10.0,Malcolm X Boulevard & West 135th Street,40.8140745,-73.9407852,59.62,33,5535
10.0,Fort Washington Avenue & West 162nd Street,40.8377866,-73.9440172,58.71,6,1022
10.0,Amsterdam Avenue & West 147th Street,40.8265253,-73.9466493,58.17,13,2235
10.0,Morningside Avenue & West 124th Street,40.810687,-73.954513,58.14,3,516
10.0,Manhattan Avenue & West 122nd Street,40.8088366,-73.9540011,58.14,4,688
10.0,Macombs Place & West 151st Street,40.826334,-73.938459,57.31,2,349
10.0,Cabrini Boulevard & West 181st Street,40.8513418,-73.9402247,57.14,15,2625
10.0,East 132nd Street,40.8094179,-73.9356814,55.67,11,1976
10.0,Amsterdam Avenue & West 145th Street,40.8252298,-73.947602,55.62,28,5034
10.0,Broadway & West 164th Street,40.8384061,-73.9416375,55.56,8,1440
10.0,Riverside Drive,40.832697,-73.949714,55.35,6,1084
10.0,Riverside Drive,40.824739,-73.954347,54.95,2,364
10.0,Fort Washington Avenue & West 161st Street,40.8370771,-73.9442977,54.82,7,1277
10.0,Broadway & West 140th Street,40.8232381,-73.9527141,54.79,10,1825
10.0,10th Avenue,40.8589992,-73.9228659,54.64,1,183
10.0,5th Avenue & East 135th Street,40.812748,-73.937635,54.63,25,4576
10.0,Broadway & West 149th Street,40.8289444,-73.9485501,54.55,13,2383
10.0,Bennett Avenue & Overlook Terrace,40.852339,-73.935716,54.47,5,918
10.0,Riverside Drive & West 140th Street,40.824126,-73.95483,54.35,3,552
10.0,Saint Nicholas Avenue & West 180th Street,40.848626,-73.934239,53.83,9,1672
10.0,Adam Clayton Powell Jr. Boulevard & West 151st Street,40.8254698,-73.9364062,53.76,1,186
10.0,Beekman Street,40.707216,-74.002744,53.33,4,750
10.0,5th Avenue,40.814044,-73.936688,53.28,10,1877
9.0,Bowery & Spring Street,40.7209741,-73.9938614,53.05,37,6974
9.0,5th Avenue & East 128th Street,40.808334,-73.940861,52.74,8,1517
9.0,East 126th Street & Park Avenue,40.8056738,-73.9384143,52.08,13,2496
9.0,Saint Nicholas Avenue & West 153rd Street,40.8294451,-73.9419432,51.81,3,579
9.0,Malcolm X Boulevard & West 141st Street,40.8178749,-73.9380263,51.55,8,1552
9.0,Arden Street & Broadway,40.8646634,-73.9289023,51.28,6,1170
9.0,Adam Clayton Powell Jr. Boulevard & West 117th Street,40.8039386,-73.9521145,50.76,8,1576
9.0,Stanton Street,40.7187534,-73.9795703,50.59,3,593
9.0,Broome Street,40.716394,-73.984536,50.51,1,198
9.0,Wadsworth Avenue & West 188th Street,40.8542,-73.9317956,50.51,3,594
9.0,Adam Clayton Powell Jr. Boulevard & West 126th Street,40.8096735,-73.9479141,50.34,9,1788
9.0,Broadway & West 179th Street,40.8489682,-73.9370276,50.28,19,3779
9.0,Dyer Avenue & Dyer Avenue / West 30th Street,40.7552114,-73.9966605,50.25,28,5572
9.0,Wadsworth Avenue & West 181st Street,40.84984,-73.934966,50.25,6,1194
9.0,10th Avenue,40.867633,-73.916588,50.25,3,597
9.0,Broadway & West 161st Street,40.8365346,-73.9430023,50.17,9,1794
9.0,Adam Clayton Powell Jr. Boulevard & West 119th Street,40.8051865,-73.9511881,50.05,10,1998
9.0,Riverside Drive & West 102nd Street,40.799705,-73.971924,50.04,6,1199
